"ID","Age","is_partner","% Conv","Store Visits","Chose a Service","Chose Date and Time","Jobs Booked","Jobs Amount"
"89053","14","1","0.10526315789473684","76","0","16","8","250.29"
"44001","33","1","0.1111111111111111","18","0","3","2","250"
"104415","5","0","0.00291970802919708","1370","0","12","4","240.75"
"19102","44","1","0.03968253968253968","126","0","17","5","200"
"106061","3","0","0.13333333333333333","15","0","3","2","188"
"76979","17","1","0.02054794520547945","146","0","5","3","160"
"104099","5","1","0.04322429906542056","856","0","66","37","140"
"105167","4","1","0.01020408163265306","98","0","2","1","132"
"104515","4","0","0.02054794520547945","146","1","14","3","86.65"
"106588","3","1","0.006880733944954129","436","0","9","3","66.79"
"11731","50","1","0","71","0","12","0","0"
"104804","5","1","0.12307692307692308","65","0","12","8","0"
"102593","6","1","0.022222222222222223","90","0","9","2","0"
"18634","45","1","0","17","0","0","0","0"
"102409","6","1","0.1","10","0","1","1","0"
"7260","14","0","0","11","0","0","0","0"
"104921","4","0","0.09090909090909091","11","0","1","1","0"
"102149","6","1","0.010416666666666666","192","0","34","2","0"
"89916",,"1","0","91","0","0","0","0"
"102015","6","1","0.006351039260969977","1732","19","35","11","0"
"99842","7","0","0.13333333333333333","15","0","4","2","0"
"103427","5","1","0.3333333333333333","21","0","7","7","0"
"99650","9","1","0","2","0","0","0","0"
"21382","43","1","0.17142857142857143","70","13","8","12","0"
"41342","35","0","0.11627906976744186","43","4","4","5","0"
"60064","23","1","0.02857142857142857","35","0","0","1","0"
"84974","16","1","0","4","0","0","0","0"
"87760","15","0","0.030303030303030304","33","0","2","1","0"
"77880","17","1","0","27","0","0","0","0"
"71002","13","0","0","16","0","0","0","0"
"94220","12","0","0","11","0","2","0","0"
"11276","50","1","0","2","0","0","0","0"
"100491","8","1","0","6","0","0","0","0"
"58023","6","1","0.09090909090909091","11","0","1","1","0"
"104287","5","1","0.043859649122807015","114","0","19","5","0"
"98533","8","1","0.007246376811594203","138","0","13","1","0"
"100903","5","0","0.1111111111111111","18","0","2","2","0"
"18165","45","0","0","40","0","4","0","0"
"7550","41","1","0","13","0","1","0","0"
"101145","8","1","0.1111111111111111","9","0","1","1","0"
"40087","36","1","0","211","0","1","0","0"
"20641","43","0","0","13","0","0","0","0"
"102008","7","1","0.024390243902439025","41","0","3","1","0"
"99317","9","1","0","5","0","0","0","0"
"104345","4","1","0.015384615384615385","65","0","10","1","0"
"97867","6","1","0","7","0","0","0","0"
"95097","12","0","0","14","0","1","0","0"
"104261","5","1","0","5","0","0","0","0"
"106150","3","1","0","34","0","3","0","0"
"34477","38","1","0","247","21","14","0","0"
"66218","6","0","0.013568521031207599","737","19","17","10","0"
"82828","16","1","0","10","0","0","0","0"
"106302","3","1","0.022727272727272728","44","0","4","1","0"
"91858","13","1","0.021505376344086023","93","0","9","2","0"
"96859","9","1","0.16326530612244897","49","0","11","8","0"
"48034","30","0","0.12280701754385964","114","0","21","14","0"
"15261","43","1","0","4","0","0","0","0"
"99940","8","1","0","8","0","0","0","0"
"106578","3","0","0","16","0","3","0","0"
"52784","8","1","0","30","0","4","0","0"
"89911","13","1","0","7","0","0","0","0"
"98482","9","0","0.047619047619047616","21","0","1","1","0"
"68364","20","0","0","22","0","1","0","0"
"52175","28","0","0","10","0","0","0","0"
"64036","22","0","0.07407407407407407","54","0","6","4","0"
"85342","3","0","0.03333333333333333","30","2","2","1","0"
"101498","7","1","0.10365135453474676","849","0","104","88","0"
"105601","4","0","0.0017825311942959","561","0","5","1","0"
"95296","10","0","0.00045829514207149406","6546","0","11","3","0"
"50233","30","1","0","146","4","3","0","0"
"106718","2","0","0.04819277108433735","83","0","6","4","0"
"92091","13","1","0","46","0","1","0","0"
"65893","2","0","0.041666666666666664","24","0","1","1","0"
"106448","3","0","0.018518518518518517","54","0","7","1","0"
"102708","5","1","0.07142857142857142","14","0","2","1","0"
"100045","8","1","0","1","0","1","0","0"
"85735","14","1","0","26","1","1","0","0"
"107761","2","0","0.13043478260869565","23","0","0","3","0"
"84469","4","1","0","2","0","0","0","0"
"107434","2","0","0","4","0","0","0","0"
"89046","13","1","0","29","0","0","0","0"
"48024","2","1","0","22","0","0","0","0"
"51727","28","1","0","2","0","0","0","0"
"107710","2","0","0.16666666666666666","12","0","0","2","0"
"101966","2","1","0.03125","32","0","1","1","0"
"97848","6","0","0","3","0","0","0","0"
"103672","5","0","0","105","8","4","0","0"
"64725","21","1","0","2","0","0","0","0"
"108245","2","1","0","6","0","0","0","0"
"96728","8","0","0","2","0","0","0","0"
"106032","3","1","0","5","0","2","0","0"
"98751","9","1","0","3","0","0","0","0"
"101271","3","1","0.010638297872340425","94","0","3","1","0"
"28944","39","1","0","5","0","0","0","0"
"105045","4","1","0","12","0","1","0","0"
"58824","24","1","0","2","0","0","0","0"
"97015","10","0","0","4","0","0","0","0"
"105804","4","0","0.10526315789473684","19","0","5","2","0"
"99786","8","0","0.058823529411764705","17","0","1","1","0"
"16051","39","0","0","1","0","0","0","0"
"99777","7","1","0","6","0","0","0","0"
"102961","6","1","0","12","0","0","0","0"
"106271","3","1","0","20","0","0","0","0"
"92069","13","1","0","6","0","1","0","0"
"103133","6","0","0.1111111111111111","9","0","1","1","0"
"92151","12","1","0","10","0","1","0","0"
"98433","8","1","0","23","0","1","0","0"
"98158","10","0","0.0020964360587002098","477","0","5","1","0"
"28253","39","0","0","148","0","0","0","0"
"88575","14","1","0.6428571428571429","14","0","9","9","0"
"89128","14","1","0.22972972972972974","74","0","42","17","0"
"60667","23","0","0","36","0","0","0","0"
"98275","5","1","0.08163265306122448","98","0","16","8","0"
"1334","87","0","0","8","0","0","0","0"
"101647","2","1","0.05454545454545454","55","0","2","3","0"
"99736","9","1","0.13881278538812786","1095","0","267","152","0"
"104139","4","1","0.06451612903225806","31","0","6","2","0"
"70092","20","1","0","3","0","0","0","0"
"107176","2","1","0","3","0","0","0","0"
"53893","27","1","0","24","0","0","0","0"
"88132","14","1","0.12299465240641712","561","0","186","69","0"
"51913","25","0","0.015151515151515152","66","6","4","1","0"
"102976","6","1","0.04794520547945205","146","0","11","7","0"
"26358","38","0","0","1","0","0","0","0"
"97923","9","1","0","5","0","0","0","0"
"73239","17","1","0.08333333333333333","12","0","0","1","0"
"99141","6","0","0","10","0","0","0","0"
"103973","5","0","0.006934812760055479","721","0","12","5","0"
"44540","33","0","0","2","0","0","0","0"
"91390","10","0","0.003875968992248062","258","0","1","1","0"
"59791","24","0","0.12474012474012475","481","0","101","60","0"
"43238","34","1","0.023255813953488372","43","0","1","1","0"
"102869","6","1","0.09473684210526316","95","0","24","9","0"
"52164","28","1","0","50","0","0","0","0"
"10583","51","1","0","2","0","0","0","0"
"12197","49","1","0","12","0","1","0","0"
"98367","9","1","0.0771513353115727","337","0","42","26","0"
"103118","6","1","0","26","0","2","0","0"
"49435","30","1","0","20","0","0","0","0"
